 INFO  Accepting connections at http://localhost:3000
 HTTP  19/02/2026 21:51:00 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:51:00 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:51:00 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:51:01 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:51:01 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:51:16 100.80.97.51 GET /
 HTTP  19/02/2026 21:51:16 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:51:17 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:51:17 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:51:17 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:51:17 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:51:17 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:51:17 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:58:34 100.80.97.51 GET /
 HTTP  19/02/2026 21:58:34 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:58:34 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:58:34 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:58:34 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:58:34 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:58:34 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:58:34 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 22:05:06 100.80.97.51 GET /
 HTTP  19/02/2026 22:05:06 100.80.97.51 Returned 200 in 1 ms
 HTTP  19/02/2026 22:05:06 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 22:05:06 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 22:05:06 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 22:05:06 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 22:45:05 100.80.97.51 GET /
 HTTP  19/02/2026 22:45:05 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 22:45:05 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 22:45:05 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 22:45:05 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 22:45:05 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 22:45:05 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 22:45:05 100.80.97.51 Returned 304 in 5 ms
 HTTP  19/02/2026 22:52:34 100.70.163.124 GET /
 HTTP  19/02/2026 22:52:34 100.70.163.124 Returned 200 in 2 ms
 HTTP  19/02/2026 22:52:34 100.70.163.124 GET /manifest.json
 HTTP  19/02/2026 22:52:34 100.70.163.124 Returned 200 in 1 ms
 HTTP  19/02/2026 22:52:34 100.70.163.124 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 22:52:34 100.70.163.124 Returned 200 in 2 ms
 HTTP  19/02/2026 22:52:34 100.70.163.124 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 22:52:34 100.70.163.124 Returned 200 in 2 ms
 HTTP  19/02/2026 22:52:35 100.70.163.124 GET /weather-icon.svg
 HTTP  19/02/2026 22:52:35 100.70.163.124 Returned 200 in 1 ms
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-CFVvAVb1.css
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /assets/index-C_ixqoED.js
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 2 ms
 HTTP  20/02/2026 05:11:11 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
 HTTP  20/02/2026 05:11:12 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 GET /weather-icon.svg
 HTTP  20/02/2026 05:11:12 2a02:1210:3a4f:7000:6a67:a11a:5847:b0d1 Returned 304 in 1 ms
